STATION,DATE,TMAX,TMIN
USW00013873,6/1/1944,93,66
USW00013873,6/2/1944,96,71
USW00013873,6/3/1944,97,70
USW00013873,6/4/1944,96,69
USW00013873,6/5/1944,82,69
USW00013873,6/6/1944,88,69
USW00013873,6/7/1944,88,65
USW00013873,6/8/1944,84,57
USW00013873,6/9/1944,85,66
USW00013873,6/10/1944,88,66
USW00013873,6/11/1944,91,69
USW00013873,6/12/1944,88,69
USW00013873,6/13/1944,87,66
USW00013873,6/14/1944,94,69
USW00013873,6/15/1944,96,70
USW00013873,6/16/1944,99,71
USW00013873,6/17/1944,98,74
USW00013873,6/18/1944,100,76
USW00013873,6/19/1944,101,74
USW00013873,6/20/1944,90,69
USW00013873,6/21/1944,89,60
USW00013873,6/22/1944,99,66
USW00013873,6/23/1944,101,77
USW00013873,6/24/1944,99,78
USW00013873,6/25/1944,94,66
USW00013873,6/26/1944,95,70
USW00013873,6/27/1944,93,70
USW00013873,6/28/1944,89,69
USW00013873,6/29/1944,93,71
USW00013873,6/30/1944,89,72
USW00013873,7/1/1944,95,66
USW00013873,7/2/1944,79,70
USW00013873,7/3/1944,80,65
USW00013873,7/4/1944,82,60
USW00013873,7/5/1944,80,64
USW00013873,7/6/1944,83,68
USW00013873,7/7/1944,85,60
USW00013873,7/8/1944,89,62
USW00013873,7/9/1944,87,66
USW00013873,7/10/1944,90,67
USW00013873,7/11/1944,89,69
USW00013873,7/12/1944,88,70
USW00013873,7/13/1944,88,72
USW00013873,7/14/1944,88,72
USW00013873,7/15/1944,88,72
USW00013873,7/16/1944,96,70
USW00013873,7/17/1944,100,72
USW00013873,7/18/1944,98,72
USW00013873,7/19/1944,85,72
USW00013873,7/20/1944,91,66
USW00013873,7/21/1944,87,68
USW00013873,7/22/1944,86,66
USW00013873,7/23/1944,90,65
USW00013873,7/24/1944,92,66
USW00013873,7/25/1944,96,66
USW00013873,7/26/1944,95,70
USW00013873,7/27/1944,98,76
USW00013873,7/28/1944,95,74
USW00013873,7/29/1944,96,70
USW00013873,7/30/1944,93,71
USW00013873,7/31/1944,76,68
USW00013873,8/1/1944,76,70
USW00013873,8/2/1944,84,70
USW00013873,8/3/1944,89,70
USW00013873,8/4/1944,87,71
USW00013873,8/5/1944,89,71
USW00013873,8/6/1944,88,70
USW00013873,8/7/1944,88,72
USW00013873,8/8/1944,92,72
USW00013873,8/9/1944,83,70
USW00013873,8/10/1944,84,67
USW00013873,8/11/1944,88,64
USW00013873,8/12/1944,91,68
USW00013873,8/13/1944,95,72
USW00013873,8/14/1944,90,71
USW00013873,8/15/1944,81,69
USW00013873,8/16/1944,80,71
USW00013873,8/17/1944,90,74
USW00013873,8/18/1944,90,70
USW00013873,8/19/1944,90,71
USW00013873,8/20/1944,87,66
USW00013873,8/21/1944,86,68
USW00013873,8/22/1944,88,65
USW00013873,8/23/1944,93,71
USW00013873,8/24/1944,93,70
USW00013873,8/25/1944,96,77
USW00013873,8/26/1944,84,67
USW00013873,8/27/1944,71,63
USW00013873,8/28/1944,61,57
USW00013873,8/29/1944,67,57
USW00013873,8/30/1944,84,64
USW00013873,8/31/1944,86,67
USW00013873,9/1/1944,91,72
USW00013873,9/2/1944,92,70
USW00013873,9/3/1944,95,71
USW00013873,9/4/1944,96,71
USW00013873,9/5/1944,96,70
USW00013873,9/6/1944,91,71
USW00013873,9/7/1944,88,69
USW00013873,9/8/1944,73,58
USW00013873,9/9/1944,77,58
USW00013873,9/10/1944,70,61
USW00013873,9/11/1944,66,59
USW00013873,9/12/1944,77,62
USW00013873,9/13/1944,85,62
USW00013873,9/14/1944,93,60
USW00013873,9/15/1944,85,59
USW00013873,9/16/1944,84,63
USW00013873,9/17/1944,80,61
USW00013873,9/18/1944,76,65
USW00013873,9/19/1944,86,67
USW00013873,9/20/1944,88,66
USW00013873,9/21/1944,77,67
USW00013873,9/22/1944,80,66
USW00013873,9/23/1944,82,57
USW00013873,9/24/1944,72,64
USW00013873,9/25/1944,74,57
USW00013873,9/26/1944,81,60
USW00013873,9/27/1944,84,62
USW00013873,9/28/1944,84,64
USW00013873,9/29/1944,87,71
USW00013873,9/30/1944,83,70
USW00013873,10/1/1944,82,64
USW00013873,10/2/1944,85,62
USW00013873,10/3/1944,85,62
USW00013873,10/4/1944,85,62
USW00013873,10/5/1944,85,64
USW00013873,10/6/1944,89,69
